 Subject           Activity                                 Measurement     Mean
       1   WALKING_UPSTAIRS               TimeGravityAccelartionStdDevY -0.95285
       1   WALKING_UPSTAIRS               TimeGravityAccelartionStdDevZ -0.91238
       1   WALKING_UPSTAIRS                TimeBodyAccelartionJerkMeanX  0.10137
       1   WALKING_UPSTAIRS                TimeBodyAccelartionJerkMeanY  0.01949
       1   WALKING_UPSTAIRS                TimeBodyAccelartionJerkMeanZ -0.04556
       1   WALKING_UPSTAIRS              TimeBodyAccelartionJerkStdDevX -0.44684
       1   WALKING_UPSTAIRS              TimeBodyAccelartionJerkStdDevY -0.37827
       1   WALKING_UPSTAIRS              TimeBodyAccelartionJerkStdDevZ -0.70659
       1   WALKING_UPSTAIRS                     TimeBodyGyroscopicMeanX  0.05055
       1   WALKING_UPSTAIRS                     TimeBodyGyroscopicMeanY -0.16617
       1   WALKING_UPSTAIRS                     TimeBodyGyroscopicMeanZ  0.05836
       1   WALKING_UPSTAIRS                   TimeBodyGyroscopicStdDevX -0.54487
       1   WALKING_UPSTAIRS                   TimeBodyGyroscopicStdDevY  0.00411
       1   WALKING_UPSTAIRS                   TimeBodyGyroscopicStdDevZ -0.50717
       1   WALKING_UPSTAIRS                 TimeBodyGyroscopicJerkMeanX -0.12223
       1   WALKING_UPSTAIRS                 TimeBodyGyroscopicJerkMeanY -0.04215
       1   WALKING_UPSTAIRS                 TimeBodyGyroscopicJerkMeanZ -0.04071
       1   WALKING_UPSTAIRS               TimeBodyGyroscopicJerkStdDevX -0.61479
       1   WALKING_UPSTAIRS               TimeBodyGyroscopicJerkStdDevY -0.60170
       1   WALKING_UPSTAIRS               TimeBodyGyroscopicJerkStdDevZ -0.60633
       1   WALKING_UPSTAIRS            TimeBodyAccelartionMagnitudeMean -0.12993
       1   WALKING_UPSTAIRS          TimeBodyAccelartionMagnitudeStdDev -0.32497
       1   WALKING_UPSTAIRS         TimeGravityAccelartionMagnitudeMean -0.12993
       1   WALKING_UPSTAIRS       TimeGravityAccelartionMagnitudeStdDev -0.32497
       1   WALKING_UPSTAIRS        TimeBodyAccelartionJerkMagnitudeMean -0.46650
       1   WALKING_UPSTAIRS      TimeBodyAccelartionJerkMagnitudeStdDev -0.47899
       1   WALKING_UPSTAIRS             TimeBodyGyroscopicMagnitudeMean -0.12674
       1   WALKING_UPSTAIRS           TimeBodyGyroscopicMagnitudeStdDev -0.14862
       1   WALKING_UPSTAIRS         TimeBodyGyroscopicJerkMagnitudeMean -0.59488
       1   WALKING_UPSTAIRS       TimeBodyGyroscopicJerkMagnitudeStdDev -0.64855
       1   WALKING_UPSTAIRS               FrequencyBodyAccelartionMeanX -0.40432
       1   WALKING_UPSTAIRS               FrequencyBodyAccelartionMeanY -0.19098
       1   WALKING_UPSTAIRS               FrequencyBodyAccelartionMeanZ -0.43335
       1   WALKING_UPSTAIRS             FrequencyBodyAccelartionStdDevX -0.33743
       1   WALKING_UPSTAIRS             FrequencyBodyAccelartionStdDevY  0.02177
       1   WALKING_UPSTAIRS             FrequencyBodyAccelartionStdDevZ  0.08596
       1   WALKING_UPSTAIRS           FrequencyBodyAccelartionJerkMeanX -0.47988
       1   WALKING_UPSTAIRS           FrequencyBodyAccelartionJerkMeanY -0.41344
       1   WALKING_UPSTAIRS           FrequencyBodyAccelartionJerkMeanZ -0.68547
       1   WALKING_UPSTAIRS         FrequencyBodyAccelartionJerkStdDevX -0.46191
       1   WALKING_UPSTAIRS         FrequencyBodyAccelartionJerkStdDevY -0.38178
       1   WALKING_UPSTAIRS         FrequencyBodyAccelartionJerkStdDevZ -0.72604
       1   WALKING_UPSTAIRS                FrequencyBodyGyroscopicMeanX -0.49261
       1   WALKING_UPSTAIRS                FrequencyBodyGyroscopicMeanY -0.31947
       1   WALKING_UPSTAIRS                FrequencyBodyGyroscopicMeanZ -0.45360
       1   WALKING_UPSTAIRS              FrequencyBodyGyroscopicStdDevX -0.56589
       1   WALKING_UPSTAIRS              FrequencyBodyGyroscopicStdDevY  0.15154
       1   WALKING_UPSTAIRS              FrequencyBodyGyroscopicStdDevZ -0.57171
       1   WALKING_UPSTAIRS       FrequencyBodyAccelartionMagnitudeMean -0.35240
       1   WALKING_UPSTAIRS     FrequencyBodyAccelartionMagnitudeStdDev -0.41626
       1   WALKING_UPSTAIRS   FrequencyBodyAccelartionJerkMagnitudeMean -0.44265
       1   WALKING_UPSTAIRS FrequencyBodyAccelartionJerkMagnitudeStdDev -0.53306
       1   WALKING_UPSTAIRS        FrequencyBodyGyroscopicMagnitudeMean -0.32596
       1   WALKING_UPSTAIRS      FrequencyBodyGyroscopicMagnitudeStdDev -0.18299
       1   WALKING_UPSTAIRS    FrequencyBodyGyroscopicJerkMagnitudeMean -0.63467
       1   WALKING_UPSTAIRS  FrequencyBodyGyroscopicJerkMagnitudeStdDev -0.69393
       1 WALKING_DOWNSTAIRS                    TimeBodyAccelartionMeanX  0.28919
       1 WALKING_DOWNSTAIRS                    TimeBodyAccelartionMeanY -0.00992
       1 WALKING_DOWNSTAIRS                    TimeBodyAccelartionMeanZ -0.10757
       1 WALKING_DOWNSTAIRS                  TimeBodyAccelartionStdDevX  0.03004
       1 WALKING_DOWNSTAIRS                  TimeBodyAccelartionStdDevY -0.03194
       1 WALKING_DOWNSTAIRS                  TimeBodyAccelartionStdDevZ -0.23043
       1 WALKING_DOWNSTAIRS                 TimeGravityAccelartionMeanX  0.93187
       1 WALKING_DOWNSTAIRS                 TimeGravityAccelartionMeanY -0.26661
       1 WALKING_DOWNSTAIRS                 TimeGravityAccelartionMeanZ -0.06212
       1 WALKING_DOWNSTAIRS               TimeGravityAccelartionStdDevX -0.95056
       1 WALKING_DOWNSTAIRS               TimeGravityAccelartionStdDevY -0.93702
       1 WALKING_DOWNSTAIRS               TimeGravityAccelartionStdDevZ -0.89594
       1 WALKING_DOWNSTAIRS                TimeBodyAccelartionJerkMeanX  0.05416
       1 WALKING_DOWNSTAIRS                TimeBodyAccelartionJerkMeanY  0.02965
       1 WALKING_DOWNSTAIRS                TimeBodyAccelartionJerkMeanZ -0.01097
       1 WALKING_DOWNSTAIRS              TimeBodyAccelartionJerkStdDevX -0.01228
       1 WALKING_DOWNSTAIRS              TimeBodyAccelartionJerkStdDevY -0.10160
       1 WALKING_DOWNSTAIRS              TimeBodyAccelartionJerkStdDevZ -0.34574
       1 WALKING_DOWNSTAIRS                     TimeBodyGyroscopicMeanX -0.03508
       1 WALKING_DOWNSTAIRS                     TimeBodyGyroscopicMeanY -0.09094
       1 WALKING_DOWNSTAIRS                     TimeBodyGyroscopicMeanZ  0.09009
       1 WALKING_DOWNSTAIRS                   TimeBodyGyroscopicStdDevX -0.45803
       1 WALKING_DOWNSTAIRS                   TimeBodyGyroscopicStdDevY -0.12635
       1 WALKING_DOWNSTAIRS                   TimeBodyGyroscopicStdDevZ -0.12470
       1 WALKING_DOWNSTAIRS                 TimeBodyGyroscopicJerkMeanX -0.07396
       1 WALKING_DOWNSTAIRS                 TimeBodyGyroscopicJerkMeanY -0.04399
       1 WALKING_DOWNSTAIRS                 TimeBodyGyroscopicJerkMeanZ -0.02705
       1 WALKING_DOWNSTAIRS               TimeBodyGyroscopicJerkStdDevX -0.48703
       1 WALKING_DOWNSTAIRS               TimeBodyGyroscopicJerkStdDevY -0.23882
       1 WALKING_DOWNSTAIRS               TimeBodyGyroscopicJerkStdDevZ -0.26876
       1 WALKING_DOWNSTAIRS            TimeBodyAccelartionMagnitudeMean  0.02719
       1 WALKING_DOWNSTAIRS          TimeBodyAccelartionMagnitudeStdDev  0.01988
       1 WALKING_DOWNSTAIRS         TimeGravityAccelartionMagnitudeMean  0.02719
       1 WALKING_DOWNSTAIRS       TimeGravityAccelartionMagnitudeStdDev  0.01988
       1 WALKING_DOWNSTAIRS        TimeBodyAccelartionJerkMagnitudeMean -0.08945
       1 WALKING_DOWNSTAIRS      TimeBodyAccelartionJerkMagnitudeStdDev -0.02579
       1 WALKING_DOWNSTAIRS             TimeBodyGyroscopicMagnitudeMean -0.07574
       1 WALKING_DOWNSTAIRS           TimeBodyGyroscopicMagnitudeStdDev -0.22572
       1 WALKING_DOWNSTAIRS         TimeBodyGyroscopicJerkMagnitudeMean -0.29546
       1 WALKING_DOWNSTAIRS       TimeBodyGyroscopicJerkMagnitudeStdDev -0.30651
       1 WALKING_DOWNSTAIRS               FrequencyBodyAccelartionMeanX  0.03823
       1 WALKING_DOWNSTAIRS               FrequencyBodyAccelartionMeanY  0.00155
       1 WALKING_DOWNSTAIRS               FrequencyBodyAccelartionMeanZ -0.22557
       1 WALKING_DOWNSTAIRS             FrequencyBodyAccelartionStdDevX  0.02433
       1 WALKING_DOWNSTAIRS             FrequencyBodyAccelartionStdDevY -0.11296
       1 WALKING_DOWNSTAIRS             FrequencyBodyAccelartionStdDevZ -0.29793
       1 WALKING_DOWNSTAIRS           FrequencyBodyAccelartionJerkMeanX -0.02766
       1 WALKING_DOWNSTAIRS           FrequencyBodyAccelartionJerkMeanY -0.12867
       1 WALKING_DOWNSTAIRS           FrequencyBodyAccelartionJerkMeanZ -0.28833
       1 WALKING_DOWNSTAIRS         FrequencyBodyAccelartionJerkStdDevX -0.08633
       1 WALKING_DOWNSTAIRS         FrequencyBodyAccelartionJerkStdDevY -0.13458
       1 WALKING_DOWNSTAIRS         FrequencyBodyAccelartionJerkStdDevZ -0.40172
       1 WALKING_DOWNSTAIRS                FrequencyBodyGyroscopicMeanX -0.35245
       1 WALKING_DOWNSTAIRS                FrequencyBodyGyroscopicMeanY -0.05570
       1 WALKING_DOWNSTAIRS                FrequencyBodyGyroscopicMeanZ -0.03187
       1 WALKING_DOWNSTAIRS              FrequencyBodyGyroscopicStdDevX -0.49542
       1 WALKING_DOWNSTAIRS              FrequencyBodyGyroscopicStdDevY -0.18141
       1 WALKING_DOWNSTAIRS              FrequencyBodyGyroscopicStdDevZ -0.23844
       1 WALKING_DOWNSTAIRS       FrequencyBodyAccelartionMagnitudeMean  0.09658
       1 WALKING_DOWNSTAIRS     FrequencyBodyAccelartionMagnitudeStdDev -0.18653
       1 WALKING_DOWNSTAIRS   FrequencyBodyAccelartionJerkMagnitudeMean  0.02622
       1 WALKING_DOWNSTAIRS FrequencyBodyAccelartionJerkMagnitudeStdDev -0.10405
       1 WALKING_DOWNSTAIRS        FrequencyBodyGyroscopicMagnitudeMean -0.18572
       1 WALKING_DOWNSTAIRS      FrequencyBodyGyroscopicMagnitudeStdDev -0.39835
       1 WALKING_DOWNSTAIRS    FrequencyBodyGyroscopicJerkMagnitudeMean -0.28196
       1 WALKING_DOWNSTAIRS  FrequencyBodyGyroscopicJerkMagnitudeStdDev -0.39192
       1            SITTING                    TimeBodyAccelartionMeanX  0.26124
       1            SITTING                    TimeBodyAccelartionMeanY -0.00131
       1            SITTING                    TimeBodyAccelartionMeanZ -0.10454
       1            SITTING                  TimeBodyAccelartionStdDevX -0.97723
       1            SITTING                  TimeBodyAccelartionStdDevY -0.92262
       1            SITTING                  TimeBodyAccelartionStdDevZ -0.93959
       1            SITTING                 TimeGravityAccelartionMeanX  0.83151
       1            SITTING                 TimeGravityAccelartionMeanY  0.20441
       1            SITTING                 TimeGravityAccelartionMeanZ  0.33204
       1            SITTING               TimeGravityAccelartionStdDevX -0.96846
       1            SITTING               TimeGravityAccelartionStdDevY -0.93552
       1            SITTING               TimeGravityAccelartionStdDevZ -0.94904
       1            SITTING                TimeBodyAccelartionJerkMeanX  0.07748
       1            SITTING                TimeBodyAccelartionJerkMeanY -0.00062
       1            SITTING                TimeBodyAccelartionJerkMeanZ -0.00337
       1            SITTING              TimeBodyAccelartionJerkStdDevX -0.98643
       1            SITTING              TimeBodyAccelartionJerkStdDevY -0.98137
       1            SITTING              TimeBodyAccelartionJerkStdDevZ -0.98791
       1            SITTING                     TimeBodyGyroscopicMeanX -0.04535
       1            SITTING                     TimeBodyGyroscopicMeanY -0.09192
       1            SITTING                     TimeBodyGyroscopicMeanZ  0.06293
       1            SITTING                   TimeBodyGyroscopicStdDevX -0.97721
       1            SITTING                   TimeBodyGyroscopicStdDevY -0.96647
       1            SITTING                   TimeBodyGyroscopicStdDevZ -0.94143
       1            SITTING                 TimeBodyGyroscopicJerkMeanX -0.09368
       1            SITTING                 TimeBodyGyroscopicJerkMeanY -0.04021
       1            SITTING                 TimeBodyGyroscopicJerkMeanZ -0.04670
       1            SITTING               TimeBodyGyroscopicJerkStdDevX -0.99173
       1            SITTING               TimeBodyGyroscopicJerkStdDevY -0.98952
       1            SITTING               TimeBodyGyroscopicJerkStdDevZ -0.98794
       1            SITTING            TimeBodyAccelartionMagnitudeMean -0.94854
       1            SITTING          TimeBodyAccelartionMagnitudeStdDev -0.92708
       1            SITTING         TimeGravityAccelartionMagnitudeMean -0.94854
       1            SITTING       TimeGravityAccelartionMagnitudeStdDev -0.92708
       1            SITTING        TimeBodyAccelartionJerkMagnitudeMean -0.98736
       1            SITTING      TimeBodyAccelartionJerkMagnitudeStdDev -0.98412
       1            SITTING             TimeBodyGyroscopicMagnitudeMean -0.93089
       1            SITTING           TimeBodyGyroscopicMagnitudeStdDev -0.93453
       1            SITTING         TimeBodyGyroscopicJerkMagnitudeMean -0.99198
       1            SITTING       TimeBodyGyroscopicJerkMagnitudeStdDev -0.98831
       1            SITTING               FrequencyBodyAccelartionMeanX -0.97964
       1            SITTING               FrequencyBodyAccelartionMeanY -0.94408
       1            SITTING               FrequencyBodyAccelartionMeanZ -0.95918
       1            SITTING             FrequencyBodyAccelartionStdDevX -0.97641
       1            SITTING             FrequencyBodyAccelartionStdDevY -0.91728
       1            SITTING             FrequencyBodyAccelartionStdDevZ -0.93447
       1            SITTING           FrequencyBodyAccelartionJerkMeanX -0.98660
       1            SITTING           FrequencyBodyAccelartionJerkMeanY -0.98158
       1            SITTING           FrequencyBodyAccelartionJerkMeanZ -0.98605
       1            SITTING         FrequencyBodyAccelartionJerkStdDevX -0.98749
       1            SITTING         FrequencyBodyAccelartionJerkStdDevY -0.98251
       1            SITTING         FrequencyBodyAccelartionJerkStdDevZ -0.98834
       1            SITTING                FrequencyBodyGyroscopicMeanX -0.97616
       1            SITTING                FrequencyBodyGyroscopicMeanY -0.97584
       1            SITTING                FrequencyBodyGyroscopicMeanZ -0.95132
       1            SITTING              FrequencyBodyGyroscopicStdDevX -0.97790
       1            SITTING              FrequencyBodyGyroscopicStdDevY -0.96235
       1            SITTING              FrequencyBodyGyroscopicStdDevZ -0.94392
       1            SITTING       FrequencyBodyAccelartionMagnitudeMean -0.94778
       1            SITTING     FrequencyBodyAccelartionMagnitudeStdDev -0.92844
       1            SITTING   FrequencyBodyAccelartionJerkMagnitudeMean -0.98526
       1            SITTING FrequencyBodyAccelartionJerkMagnitudeStdDev -0.98161
       1            SITTING        FrequencyBodyGyroscopicMagnitudeMean -0.95844
       1            SITTING      FrequencyBodyGyroscopicMagnitudeStdDev -0.93220
       1            SITTING    FrequencyBodyGyroscopicJerkMagnitudeMean -0.98980
       1            SITTING  FrequencyBodyGyroscopicJerkMagnitudeStdDev -0.98705
       1           STANDING                    TimeBodyAccelartionMeanX  0.27892
       1           STANDING                    TimeBodyAccelartionMeanY -0.01614
       1           STANDING                    TimeBodyAccelartionMeanZ -0.11060
       1           STANDING                  TimeBodyAccelartionStdDevX -0.99576
       1           STANDING                  TimeBodyAccelartionStdDevY -0.97319
       1           STANDING                  TimeBodyAccelartionStdDevZ -0.97978
       1           STANDING                 TimeGravityAccelartionMeanX  0.94295
       1           STANDING                 TimeGravityAccelartionMeanY -0.27298
       1           STANDING                 TimeGravityAccelartionMeanZ  0.01349
       1           STANDING               TimeGravityAccelartionStdDevX -0.99376
       1           STANDING               TimeGravityAccelartionStdDevY -0.98123
       1           STANDING               TimeGravityAccelartionStdDevZ -0.97632
       1           STANDING                TimeBodyAccelartionJerkMeanX  0.07538
       1           STANDING                TimeBodyAccelartionJerkMeanY  0.00798
       1           STANDING                TimeBodyAccelartionJerkMeanZ -0.00369
       1           STANDING              TimeBodyAccelartionJerkStdDevX -0.99460
       1           STANDING              TimeBodyAccelartionJerkStdDevY -0.98565
       1           STANDING              TimeBodyAccelartionJerkStdDevZ -0.99225
       1           STANDING                     TimeBodyGyroscopicMeanX -0.02399
       1           STANDING                     TimeBodyGyroscopicMeanY -0.05940
       1           STANDING                     TimeBodyGyroscopicMeanZ  0.07480
       1           STANDING                   TimeBodyGyroscopicStdDevX -0.98719
       1           STANDING                   TimeBodyGyroscopicStdDevY -0.98773
       1           STANDING                   TimeBodyGyroscopicStdDevZ -0.98065
       1           STANDING                 TimeBodyGyroscopicJerkMeanX -0.09961
       1           STANDING                 TimeBodyGyroscopicJerkMeanY -0.04406
       1           STANDING                 TimeBodyGyroscopicJerkMeanZ -0.04895
       1           STANDING               TimeBodyGyroscopicJerkStdDevX -0.99295
       1           STANDING               TimeBodyGyroscopicJerkStdDevY -0.99514
       1           STANDING               TimeBodyGyroscopicJerkStdDevZ -0.99211
       1           STANDING            TimeBodyAccelartionMagnitudeMean -0.98428
       1           STANDING          TimeBodyAccelartionMagnitudeStdDev -0.98194
       1           STANDING         TimeGravityAccelartionMagnitudeMean -0.98428
       1           STANDING       TimeGravityAccelartionMagnitudeStdDev -0.98194
       1           STANDING        TimeBodyAccelartionJerkMagnitudeMean -0.99237
       1           STANDING      TimeBodyAccelartionJerkMagnitudeStdDev -0.99310
       1           STANDING             TimeBodyGyroscopicMagnitudeMean -0.97649
       1           STANDING           TimeBodyGyroscopicMagnitudeStdDev -0.97869
       1           STANDING         TimeBodyGyroscopicJerkMagnitudeMean -0.99497
       1           STANDING       TimeBodyGyroscopicJerkMagnitudeStdDev -0.99473
       1           STANDING               FrequencyBodyAccelartionMeanX -0.99525
       1           STANDING               FrequencyBodyAccelartionMeanY -0.97707
       1           STANDING               FrequencyBodyAccelartionMeanZ -0.98530
       1           STANDING             FrequencyBodyAccelartionStdDevX -0.99603
       1           STANDING             FrequencyBodyAccelartionStdDevY -0.97229
       1           STANDING             FrequencyBodyAccelartionStdDevZ -0.97794
       1           STANDING           FrequencyBodyAccelartionJerkMeanX -0.99463
       1           STANDING           FrequencyBodyAccelartionJerkMeanY -0.98542
       1           STANDING           FrequencyBodyAccelartionJerkMeanZ -0.99075
       1           STANDING         FrequencyBodyAccelartionJerkStdDevX -0.99507
       1           STANDING         FrequencyBodyAccelartionJerkStdDevY -0.98702
       1           STANDING         FrequencyBodyAccelartionJerkStdDevZ -0.99235
       1           STANDING                FrequencyBodyGyroscopicMeanX -0.98639
       1           STANDING                FrequencyBodyGyroscopicMeanY -0.98898
       1           STANDING                FrequencyBodyGyroscopicMeanZ -0.98077
       1           STANDING              FrequencyBodyGyroscopicStdDevX -0.98750
       1           STANDING              FrequencyBodyGyroscopicStdDevY -0.98711
       1           STANDING              FrequencyBodyGyroscopicStdDevZ -0.98235
       1           STANDING       FrequencyBodyAccelartionMagnitudeMean -0.98536
       1           STANDING     FrequencyBodyAccelartionMagnitudeStdDev -0.98231
       1           STANDING   FrequencyBodyAccelartionJerkMagnitudeMean -0.99254
       1           STANDING FrequencyBodyAccelartionJerkMagnitudeStdDev -0.99254
       1           STANDING        FrequencyBodyGyroscopicMagnitudeMean -0.98462
       1           STANDING      FrequencyBodyGyroscopicMagnitudeStdDev -0.97847
       1           STANDING    FrequencyBodyGyroscopicJerkMagnitudeMean -0.99482
       1           STANDING  FrequencyBodyGyroscopicJerkMagnitudeStdDev -0.99467
       1             LAYING                    TimeBodyAccelartionMeanX  0.22160
       1             LAYING                    TimeBodyAccelartionMeanY -0.04051
       1             LAYING                    TimeBodyAccelartionMeanZ -0.11320
       1             LAYING                  TimeBodyAccelartionStdDevX -0.92806
       1             LAYING                  TimeBodyAccelartionStdDevY -0.83683
       1             LAYING                  TimeBodyAccelartionStdDevZ -0.82606
       1             LAYING                 TimeGravityAccelartionMeanX -0.24888
       1             LAYING                 TimeGravityAccelartionMeanY  0.70555
       1             LAYING                 TimeGravityAccelartionMeanZ  0.44582
       1             LAYING               TimeGravityAccelartionStdDevX -0.89683
       1             LAYING               TimeGravityAccelartionStdDevY -0.90772
       1             LAYING               TimeGravityAccelartionStdDevZ -0.85237
       1             LAYING                TimeBodyAccelartionJerkMeanX  0.08109
       1             LAYING                TimeBodyAccelartionJerkMeanY  0.00384
       1             LAYING                TimeBodyAccelartionJerkMeanZ  0.01083
       1             LAYING              TimeBodyAccelartionJerkStdDevX -0.95848
       1             LAYING              TimeBodyAccelartionJerkStdDevY -0.92415
       1             LAYING              TimeBodyAccelartionJerkStdDevZ -0.95486
       1             LAYING                     TimeBodyGyroscopicMeanX -0.01655
       1             LAYING                     TimeBodyGyroscopicMeanY -0.06449
       1             LAYING                     TimeBodyGyroscopicMeanZ  0.14869
       1             LAYING                   TimeBodyGyroscopicStdDevX -0.87354
       1             LAYING                   TimeBodyGyroscopicStdDevY -0.95109
       1             LAYING                   TimeBodyGyroscopicStdDevZ -0.90828
       1             LAYING                 TimeBodyGyroscopicJerkMeanX -0.10727
       1             LAYING                 TimeBodyGyroscopicJerkMeanY -0.04152
       1             LAYING                 TimeBodyGyroscopicJerkMeanZ -0.07405
       1             LAYING               TimeBodyGyroscopicJerkStdDevX -0.91861
       1             LAYING               TimeBodyGyroscopicJerkStdDevY -0.96791
       1             LAYING               TimeBodyGyroscopicJerkStdDevZ -0.95779
       1             LAYING            TimeBodyAccelartionMagnitudeMean -0.84193
       1             LAYING          TimeBodyAccelartionMagnitudeStdDev -0.79514
       1             LAYING         TimeGravityAccelartionMagnitudeMean -0.84193
       1             LAYING       TimeGravityAccelartionMagnitudeStdDev -0.79514
       1             LAYING        TimeBodyAccelartionJerkMagnitudeMean -0.95440
       1             LAYING      TimeBodyAccelartionJerkMagnitudeStdDev -0.92825
       1             LAYING             TimeBodyGyroscopicMagnitudeMean -0.87476
       1             LAYING           TimeBodyGyroscopicMagnitudeStdDev -0.81901
       1             LAYING         TimeBodyGyroscopicJerkMagnitudeMean -0.96346
       1             LAYING       TimeBodyGyroscopicJerkMagnitudeStdDev -0.93584
       1             LAYING               FrequencyBodyAccelartionMeanX -0.93910
       1             LAYING               FrequencyBodyAccelartionMeanY -0.86707
       1             LAYING               FrequencyBodyAccelartionMeanZ -0.88267
       1             LAYING             FrequencyBodyAccelartionStdDevX -0.92444
       1             LAYING             FrequencyBodyAccelartionStdDevY -0.83363
       1             LAYING             FrequencyBodyAccelartionStdDevZ -0.81289
       1             LAYING           FrequencyBodyAccelartionJerkMeanX -0.95707
